,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,BEGIN_RANGE,END_RANGE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_YEAR,BEGIN_MONTH,DURATION_seconds,binary_damage
36041,0,0,0,0,1.0,1.0,36.5331,-86.3678,36.5331,-86.3678,2017,05,86400.0,0
58971,0,0,0,0,2.0,2.0,42.04,-92.89,42.04,-92.89,2014,08,0.0,0
40579,0,0,0,0,1.0,1.0,42.53,-78.63,42.53,-78.63,2018,08,0.0,0
7988,0,0,0,0,1.0,1.0,40.88,-92.33,40.88,-92.33,2015,06,86400.0,0
18376,0,0,0,0,0.0,0.0,37.77,-87.12,37.77,-87.12,2010,07,1740.0,0
39531,0,0,0,0,1.0,1.0,42.45,-92.29,42.45,-92.29,2015,08,51600.0,0
20418,0,0,0,0,1.0,1.0,37.46,-77.35,37.46,-77.35,2018,06,0.0,0
50081,0,0,0,0,1.0,1.0,43.3,-94.51,43.3,-94.51,2010,08,4860.0,0
9382,0,0,0,0,7.0,2.0,20.918000000000003,-157.0262,20.7718,-156.8655,2017,03,9120.0,0
33141,0,0,0,0,0.0,0.0,37.27,-76.72,37.27,-76.72,2008,12,115200.0,0
31411,0,0,0,0,1.0,1.0,42.36,-92.77,42.36,-92.77,2014,06,86400.0,0
28795,0,0,0,0,1.0,1.0,44.8595,-94.3808,44.8595,-94.3808,2013,06,14400.0,0
36160,0,0,0,0,0.0,0.0,42.37,-93.1,42.37,-93.1,2016,08,86400.0,0
61170,0,0,0,0,1.0,1.0,34.736,-87.8865,34.736,-87.8865,2010,07,3600.0,0
40657,0,0,0,0,1.0,1.0,43.26,-93.64,43.26,-93.64,2013,05,0.0,0
31622,0,0,0,0,1.0,1.0,42.04,-93.62,42.04,-93.62,2016,09,16200.000000000002,0
21567,0,0,0,0,2.0,2.0,37.66,-77.57,37.66,-77.57,2018,05,151920.0,0
41450,0,0,0,0,2.0,2.0,34.7745,-86.9528,34.7745,-86.9528,2010,06,0.0,0
20641,0,0,0,0,0.0,0.0,40.28,-99.77,40.28,-99.77,2018,06,39600.0,0
45099,0,0,0,0,1.0,1.0,41.69,-93.97,41.69,-93.97,2014,06,86400.0,0
46458,0,0,0,0,0.0,0.0,36.63,-93.63,36.63,-93.63,2015,07,0.0,1
34270,0,0,0,0,0.0,0.0,39.12,-108.52,39.12,-108.52,2018,08,3600.0,0
5584,0,0,0,0,2.0,2.0,29.71,-82.06,29.71,-82.06,2008,07,43200.0,0
